"cloud1","cloud2","cloud3"
-0.740365844013136,1.39616084011295,-0.740365844013136
-0.621669917117243,1.63355269390474,-0.621669917117243
-0.621669917117243,0.4465934249458,-0.621669917117243
-0.621669917117243,1.63355269390474,-0.455495619462991
-0.384278063325455,1.63355269390474,-0.621669917117243
-0.621669917117243,1.63355269390474,-0.740365844013136
-0.384278063325455,1.63355269390474,1.39616084011295
-0.621669917117243,1.63355269390474,1.04007305942527
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
0.4465934249458,0.0905056442581188,-0.740365844013136
-0.621669917117243,1.63355269390474,0.0905056442581188
-0.740365844013136,-0.740365844013136,1.63355269390474
-0.384278063325455,1.63355269390474,-0.740365844013136
0.209201571154012,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.621669917117243,-0.502973990221349,-0.740365844013136
-0.740365844013136,-0.740365844013136,1.63355269390474
-0.621669917117243,-0.740365844013136,-0.740365844013136
-0.740365844013136,0.921377132529374,-0.621669917117243
-0.621669917117243,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.265582136429562,-0.740365844013136
-0.0281902826377747,-0.740365844013136,-0.621669917117243
-0.740365844013136,0.4465934249458,-0.740365844013136
-0.740365844013136,-0.740365844013136,0
-0.621669917117243,1.63355269390474,1.63355269390474
-0.740365844013136,1.27746491321705,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.265582136429562,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.146886209533668,1.63355269390474
-0.740365844013136,1.15876898632116,1.63355269390474
-0.740365844013136,1.63355269390474,0.80268120563348
-0.740365844013136,0.80268120563348,-0.740365844013136
-0.740365844013136,-0.740365844013136,0.4465934249458
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.39616084011295,-0.502973990221349
-0.740365844013136,1.63355269390474,1.04007305942527
-0.740365844013136,0.4465934249458,1.63355269390474
-0.740365844013136,0.0905056442581188,-0.740365844013136
-0.740365844013136,-0.502973990221349,1.63355269390474
-0.740365844013136,-0.740365844013136,-0.146886209533668
-0.621669917117243,-0.740365844013136,1.63355269390474
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.621669917117243,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,1.63355269390474
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.502973990221349
-0.740365844013136,-0.740365844013136,-0.146886209533668
-0.502973990221349,1.63355269390474,1.39616084011295
-0.740365844013136,0.4465934249458,1.63355269390474
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,0.921377132529374
-0.740365844013136,1.51485676700884,-0.740365844013136
-0.502973990221349,0.4465934249458,1.63355269390474
-0.502973990221349,-0.740365844013136,1.63355269390474
-0.621669917117243,-0.740365844013136,1.63355269390474
-0.621669917117243,-0.621669917117243,1.63355269390474
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.502973990221349,-0.502973990221349,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,-0.621669917117243,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,-0.0281902826377747,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,0.209201571154012
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.384278063325455,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,-0.265582136429562,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
0.4465934249458,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,1.63355269390474
-0.740365844013136,-0.740365844013136,-0.740365844013136
-0.740365844013136,1.63355269390474,1.63355269390474
0,0,0
1.51485676700884,1.63355269390474,1.63355269390474
-0.740365844013136,1.63355269390474,1.63355269390474
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.621669917117243,-0.740365844013136,-0.740365844013136
-0.740365844013136,0.4465934249458,-0.740365844013136
-0.621669917117243,-0.0281902826377747,-0.740365844013136
-0.502973990221349,1.63355269390474,1.63355269390474
-0.621669917117243,1.63355269390474,-0.740365844013136
0.921377132529374,1.63355269390474,1.63355269390474
-0.740365844013136,0.0905056442581188,-0.740365844013136
-0.384278063325455,0.683985278737587,-0.740365844013136
0.327897498049906,-0.146886209533668,-0.621669917117243
-0.740365844013136,1.63355269390474,1.63355269390474
-0.740365844013136,-0.384278063325455,-0.621669917117243
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.502973990221349
-0.502973990221349,1.63355269390474,1.63355269390474
-0.740365844013136,1.63355269390474,-0.740365844013136
0.4465934249458,1.15876898632116,-0.740365844013136
-0.740365844013136,1.63355269390474,1.63355269390474
-0.740365844013136,-0.502973990221349,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.740365844013136,1.63355269390474,-0.740365844013136
-0.0281902826377747,-0.265582136429562,-0.740365844013136
-0.621669917117243,1.63355269390474,1.63355269390474
0.4465934249458,0.80268120563348,-0.740365844013136
-0.621669917117243,1.63355269390474,1.63355269390474
-0.740365844013136,1.63355269390474,0.209201571154012
-0.740365844013136,1.63355269390474,1.04007305942527
-0.740365844013136,1.63355269390474,-0.146886209533668
-0.740365844013136,1.63355269390474,1.39616084011295
-0.740365844013136,1.63355269390474,0.209201571154012
-0.740365844013136,1.63355269390474,-0.502973990221349
